./latc,600,19.373480,9.106760
./latc,650,20.980320,10.031400
./latc,700,22.205530,11.160400
./latc,750,23.710750,11.936850
./latc,800,25.374130,13.041510
./latc,850,26.854200,13.751880
./latc,900,28.410980,15.301510
./latc,950,29.980340,16.157250
./latc,1000,31.441460,17.090460
./latc,1050,33.257480,16.677530
./latc,1100,34.694100,17.168750
./latc,1150,36.459560,18.021420
./latc,1200,37.968090,18.823040
./latc-arena,600,15.776760,7.899710
./latc-arena,650,18.026280,8.557200
./latc-arena,700,18.978040,9.614110
./latc-arena,750,19.860460,10.397860
./latc-arena,800,20.851150,11.268170
./latc-arena,850,22.113360,12.145350
./latc-arena,900,23.406740,13.138170
./latc-arena,950,25.281610,14.111600
./latc-arena,1000,26.339060,15.036350
./latc-arena,1050,27.179510,14.584090
./latc-arena,1100,28.340620,15.609030
./latc-arena,1150,29.393760,16.274930
./latc-arena,1200,31.706050,17.017070
